type,poxX,poxY,poxZ,quatX,quatY,quatZ,quatW,stampSecs,stampNSecs,recSecs,recNSecs
Mocap,0.0431325,-0.0217803,1.00082,-0.000673328,-0.0120319,-0.0736555,0.997211,1540497790,634334025,1540497790,666527377
Mocap,0.0431075,-0.0217896,1.00083,-0.000711042,-0.012095,-0.0735835,0.997215,1540497790,644523149,1540497790,676543377
Mocap,0.0430988,-0.0218053,1.0008,-0.00062642,-0.0121347,-0.0736556,0.99721,1540497790,654250034,1540497790,686555377
Mocap,0.0431004,-0.0218175,1.00081,-0.000510339,-0.0121862,-0.0735503,0.997217,1540497790,664333112,1540497790,695630377
Mocap,0.0431159,-0.021809,1.00072,-0.000699341,-0.0125019,-0.0734534,0.99722,1540497790,674371664,1540497790,706608377
Mocap,0.0431112,-0.0217977,1.00083,-0.000764806,-0.0120484,-0.0735391,0.997219,1540497790,683923077,1540497790,716605377
Mocap,0.0431187,-0.021792,1.00083,-0.000696322,-0.0120704,-0.0735012,0.997222,1540497790,694610569,1540497790,726650377
Mocap,0.0431039,-0.021795,1.00083,-0.00071685,-0.0121004,-0.0735716,0.997216,1540497790,714442328,1540497790,745658377
Mocap,0.0431139,-0.0218117,1.00081,-0.000533617,-0.0120895,-0.0734976,0.997222,1540497790,733736869,1540497790,766720377
Mocap,0.0431095,-0.0217973,1.00081,-0.00067296,-0.0120298,-0.0736277,0.997213,1540497790,754522730,1540497790,785789377
Mocap,0.0431153,-0.0217904,1.00082,-0.000753036,-0.0121168,-0.0736417,0.997211,1540497790,764596516,1540497790,796750377
Mocap,0.0431449,-0.0217812,1.00083,-0.000728894,-0.011966,-0.0735842,0.997217,1540497790,773988863,1540497790,806160377
Mocap,0.0430897,-0.0218063,1.00082,-0.000647724,-0.0122072,-0.0735867,0.997214,1540497790,794398087,1540497790,826804377
Mocap,0.0430943,-0.0218053,1.00072,-0.000687393,-0.0125963,-0.0734908,0.997216,1540497790,814625819,1540497790,846844377
Mocap,0.0431175,-0.021811,1.00082,-0.000734266,-0.0120909,-0.0734397,0.997226,1540497790,835031402,1540497790,866272377
Mocap,0.043115,-0.0217923,1.00082,-0.000681573,-0.012059,-0.0735686,0.997217,1540497790,844347744,1540497790,876220377
Mocap,0.0431002,-0.0218179,1.00081,-0.000553341,-0.0120667,-0.0735839,0.997216,1540497790,854514139,1540497790,886329377
Mocap,0.0431347,-0.0217927,1.00082,-0.000640704,-0.0119709,-0.0736345,0.997213,1540497790,874553393,1540497790,906915377
Mocap,0.0431022,-0.0217975,1.00082,-0.000625504,-0.0121943,-0.0736208,0.997212,1540497790,885183352,1540497790,916348377
Mocap,0.04309,-0.0218015,1.00081,-0.000649829,-0.0122426,-0.0736491,0.997209,1540497790,894610028,1540497790,926322377
Mocap,0.043105,-0.0218166,1.00073,-0.000700326,-0.0125516,-0.0733891,0.997224,1540497790,914575346,1540497790,947049377
Mocap,0.0431322,-0.0217709,1.00082,-0.000701908,-0.0120211,-0.0736261,0.997213,1540497790,935035225,1540497790,967052377
Mocap,0.0430851,-0.0218315,1.00071,-0.000677768,-0.0126157,-0.0734095,0.997222,1540497790,954731830,1540497790,986319377
Mocap,0.0431138,-0.0217875,1.00082,-0.000712821,-0.0121755,-0.073552,0.997217,1540497790,974548229,1540497790,998393377
Mocap,0.0431062,-0.021781,1.00081,-0.000667527,-0.0122448,-0.0737036,0.997205,1540497790,984957397,1540497791,16243377
Mocap,0.0431143,-0.021786,1.00082,-0.000685497,-0.0119424,-0.0737202,0.997207,1540497790,994381913,1540497791,26212377
Mocap,0.0430944,-0.0217999,1.0008,-0.000604224,-0.0122322,-0.0736361,0.99721,1540497791,14437121,1540497791,46412377
Mocap,0.0431076,-0.0217948,1.00081,-0.000688572,-0.012055,-0.0735627,0.997217,1540497791,34631408,1540497791,66238377
Mocap,0.0430836,-0.0218053,1.00073,-0.000627999,-0.012669,-0.0734883,0.997215,1540497791,54394765,1540497791,86287377
