type,poxX,poxY,poxZ,quatX,quatY,quatZ,quatW,stampSecs,stampNSecs,recSecs,recNSecs
Mocap,0.052267,-0.0384941,1.00082,0.00249501,-0.00498068,-0.0602487,0.998168,1540497913,745332053,1540497913,776348041
Mocap,0.052257,-0.0385207,1.00081,0.00264505,-0.00489204,-0.0602616,0.998167,1540497913,765957593,1540497913,796209041
Mocap,0.0522632,-0.0384988,1.00082,0.00246197,-0.00499142,-0.0600947,0.998177,1540497913,785526140,1540497913,812265041
Mocap,0.0522643,-0.0384958,1.00081,0.00253687,-0.00491699,-0.0601007,0.998177,1540497913,795599578,1540497913,821483041
Mocap,0.0522824,-0.0385063,1.00081,0.00265206,-0.0047909,-0.0604542,0.998156,1540497913,805311277,1540497913,835519041
Mocap,0.05203,-0.0388005,1.0001,0.0037112,-0.00741018,-0.0592785,0.998207,1540497913,825179691,1540497913,856319041
Mocap,0.0522763,-0.0384692,1.00081,0.0025588,-0.00480131,-0.0604025,0.998159,1540497913,845573443,1540497913,876357041
Mocap,0.0522537,-0.0385259,1.00079,0.00266266,-0.00490125,-0.0602842,0.998166,1540497913,865786113,1540497913,895825041
Mocap,0.0522614,-0.0385346,1.00081,0.00266739,-0.00485577,-0.060293,0.998165,1540497913,875229791,1540497913,905667041
Mocap,0.0522656,-0.0385016,1.00081,0.0025656,-0.00496029,-0.0602793,0.998166,1540497913,885484344,1540497913,911557041
Mocap,0.0522804,-0.0384902,1.00082,0.0027286,-0.00462415,-0.0606514,0.998145,1540497913,895331310,1540497913,925890041
Mocap,0.0522666,-0.0385187,1.00082,0.00266249,-0.00470291,-0.0604293,0.998158,1540497913,905207116,1540497913,936463041
Mocap,0.0522738,-0.0385114,1.0008,0.00278464,-0.00468392,-0.0604653,0.998155,1540497913,925700527,1540497913,955738041
Mocap,0.0522827,-0.0385133,1.0008,0.00258989,-0.00491379,-0.0601245,0.998175,1540497913,935258292,1540497913,965740041
Mocap,0.0522773,-0.0385024,1.00081,0.00266864,-0.00466952,-0.0603925,0.99816,1540497913,945410909,1540497913,971574041
Mocap,0.0522676,-0.0385113,1.00081,0.00258561,-0.00500108,-0.0600911,0.998177,1540497913,955411812,1540497913,985556041
Mocap,0.0522471,-0.0385025,1.0008,0.00244333,-0.00521148,-0.0599069,0.998187,1540497913,965483488,1540497913,995842041
Mocap,0.0522502,-0.0385285,1.00081,0.0026309,-0.00491057,-0.0602277,0.998169,1540497913,975137537,1540497914,6602041
Mocap,0.0522575,-0.0385191,1.0008,0.00262611,-0.00493428,-0.0601055,0.998176,1540497913,985529611,1540497914,15616041
Mocap,0.0522751,-0.0385013,1.00082,0.00259357,-0.00492114,-0.0603005,0.998165,1540497913,995746569,1540497914,25840041
Mocap,0.0522645,-0.0385233,1.00081,0.0025578,-0.00498692,-0.0601296,0.998175,1540497914,5215606,1540497914,35828041
Mocap,0.0522666,-0.0385142,1.00081,0.00264049,-0.00487968,-0.0603372,0.998163,1540497914,15508032,1540497914,46010041
Mocap,0.0522634,-0.0385003,1.0008,0.00260358,-0.00497814,-0.0601656,0.998173,1540497914,25495842,1540497914,55997041
Mocap,0.0522646,-0.038523,1.00081,0.0026994,-0.00459381,-0.0605971,0.998148,1540497914,45668987,1540497914,76681041
