type,poxX,poxY,poxZ,quatX,quatY,quatZ,quatW,stampSecs,stampNSecs,recSecs,recNSecs
Mocap,0.0271618,-0.053764,1.0002,0.00227341,-0.00556221,-0.0696034,0.997557,1540498062,174293848,1540498062,204343263
Mocap,0.0271695,-0.0537824,1.0002,0.00232576,-0.00538998,-0.0700228,0.997528,1540498062,194786501,1540498062,224382263
Mocap,0.0271677,-0.0537706,1.00021,0.00238367,-0.00544156,-0.0697529,0.997547,1540498062,215044945,1540498062,244411263
Mocap,0.0271507,-0.0538072,1.0002,0.00233017,-0.00553998,-0.0694674,0.997566,1540498062,234998037,1540498062,263667263
Mocap,0.0271845,-0.0537665,1.00019,0.00229856,-0.0053676,-0.0701318,0.997521,1540498062,254561727,1540498062,284484263
Mocap,0.0271746,-0.0537881,1.0002,0.00240217,-0.00531556,-0.0700221,0.997528,1540498062,274988743,1540498062,303695263
Mocap,0.0271582,-0.0537925,1.00021,0.00232717,-0.0055152,-0.0695842,0.997558,1540498062,294614910,1540498062,324584263
Mocap,0.0271613,-0.0537787,1.0002,0.00234962,-0.00544671,-0.0697644,0.997546,1540498062,304859943,1540498062,334619263
Mocap,0.0271781,-0.0537794,1.00019,0.00236679,-0.00545868,-0.069927,0.997534,1540498062,315064402,1540498062,344601263
Mocap,0.0271506,-0.0537937,1.00021,0.00245654,-0.00535283,-0.0698475,0.99754,1540498062,335150189,1540498062,363660263
Mocap,0.0271565,-0.0537842,1.00021,0.00233487,-0.00542558,-0.0696366,0.997555,1540498062,354551777,1540498062,383669263
Mocap,0.0271621,-0.0537828,1.0002,0.00244232,-0.0053358,-0.0698965,0.997537,1540498062,374241667,1540498062,403724263
Mocap,0.0271582,-0.0537634,1.0002,0.00239113,-0.00523407,-0.069882,0.997539,1540498062,394584812,1540498062,423742263
Mocap,0.0271636,-0.053787,1.00021,0.00242449,-0.00531093,-0.0698659,0.997539,1540498062,414390486,1540498062,444804263
Mocap,0.0271442,-0.0538072,1.0002,0.0023308,-0.00554398,-0.0695617,0.99756,1540498062,435478205,1540498062,464102263
Mocap,0.0271388,-0.0537911,1.0002,0.00243815,-0.00533848,-0.0697198,0.997549,1540498062,445094717,1540498062,474185263
Mocap,0.027171,-0.0537749,1.00021,0.00251577,-0.00512682,-0.0701354,0.997521,1540498062,455034770,1540498062,484159263
Mocap,0.027183,-0.0537631,1.0003,0.00241216,-0.0049196,-0.0700675,0.997527,1540498062,465094553,1540498062,494306263
Mocap,0.027173,-0.0537736,1.00021,0.00244339,-0.00543049,-0.0698174,0.997542,1540498062,475064773,1540498062,503910263
Mocap,0.0271531,-0.0537913,1.0002,0.00235924,-0.00553112,-0.0696641,0.997552,1540498062,485205914,1540498062,513929263
Mocap,0.0271671,-0.0538019,1.00018,0.00230052,-0.00559585,-0.0697232,0.997548,1540498062,494805927,1540498062,524260263
Mocap,0.0271662,-0.0537684,1.00019,0.00236564,-0.00549106,-0.0697844,0.997544,1540498062,515170947,1540498062,535858263
Mocap,0.027167,-0.0537796,1.00021,0.00244888,-0.00529776,-0.0699617,0.997533,1540498062,524373479,1540498062,550237263
Mocap,0.0271648,-0.0537962,1.0002,0.00248242,-0.0052099,-0.0699956,0.997531,1540498062,535384206,1540498062,555342263
Mocap,0.0271687,-0.0537682,1.00021,0.00226489,-0.00538724,-0.0698173,0.997543,1540498062,555257084,1540498062,584027263
Mocap,0.0271625,-0.0537894,1.0002,0.00240193,-0.00532051,-0.0698604,0.99754,1540498062,574775812,1540498062,604095263
Mocap,0.0271583,-0.0538026,1.00021,0.00235371,-0.00548232,-0.0695896,0.997558,1540498062,595000926,1540498062,624138263
Mocap,0.0271834,-0.0537685,1.00021,0.00248816,-0.00523744,-0.0701026,0.997523,1540498062,615048210,1540498062,644507263
Mocap,0.0271501,-0.0537836,1.0002,0.00240116,-0.00542799,-0.0697777,0.997545,1540498062,635402983,1540498062,664194263
Mocap,0.0271744,-0.0537939,1.00021,0.00246983,-0.00509885,-0.070048,0.997528,1540498062,655063641,1540498062,684227263
Mocap,0.0271552,-0.0537877,1.00021,0.00243594,-0.0052742,-0.0697764,0.997546,1540498062,665373940,1540498062,694565263
Mocap,0.0271698,-0.053776,1.00019,0.00222412,-0.00554847,-0.0697494,0.997547,1540498062,675087425,1540498062,704243263
Mocap,0.027185,-0.0537842,1.00019,0.00225809,-0.00551434,-0.0698613,0.997539,1540498062,694703649,1540498062,724301263
Mocap,0.0271637,-0.0537773,1.00021,0.00232387,-0.00543927,-0.0696154,0.997556,1540498062,705084831,1540498062,734324263
Mocap,0.0271812,-0.0537722,1.00018,0.00225847,-0.00550525,-0.0699667,0.997532,1540498062,715164691,1540498062,745216263
Mocap,0.0271592,-0.0538053,1.00019,0.0024898,-0.00515869,-0.0700898,0.997524,1540498062,724777663,1540498062,754352263
Mocap,0.0271426,-0.0537896,1.0002,0.00240297,-0.00556058,-0.0695474,0.99756,1540498062,735678620,1540498062,764371263
Mocap,0.0271543,-0.0537807,1.00021,0.00235578,-0.00542558,-0.0697003,0.99755,1540498062,744738050,1540498062,774376263
Mocap,0.0271709,-0.0537574,1.00021,0.00236954,-0.00540692,-0.0697488,0.997547,1540498062,754996511,1540498062,784383263
Mocap,0.0271867,-0.0537725,1.00029,0.00237236,-0.00493145,-0.0699669,0.997534,1540498062,765012343,1540498062,794428263
Mocap,0.0271651,-0.0538069,1.0002,0.00248482,-0.00530303,-0.0698493,0.99754,1540498062,774934875,1540498062,804423263
Mocap,0.0271501,-0.0537945,1.0002,0.00238179,-0.00565404,-0.0694343,0.997568,1540498062,785335874,1540498062,813782263
Mocap,0.0271753,-0.0537824,1.0002,0.00241531,-0.00529127,-0.0701598,0.997519,1540498062,794867119,1540498062,824457263
Mocap,0.0271523,-0.0537752,1.00021,0.00230537,-0.0055584,-0.069539,0.997561,1540498062,815114094,1540498062,844507263
Mocap,0.0271513,-0.0538115,1.00019,0.00241339,-0.00548438,-0.069596,0.997557,1540498062,835114035,1540498062,864530263
Mocap,0.027164,-0.0537717,1.00022,0.00225825,-0.00567078,-0.0694044,0.99757,1540498062,855035236,1540498062,883760263
Mocap,0.0271656,-0.0537706,1.0002,0.00235405,-0.00533359,-0.069879,0.997538,1540498062,874649762,1540498062,904607263
Mocap,0.027166,-0.053794,1.00018,0.0023212,-0.0056556,-0.0697383,0.997547,1540498062,895269526,1540498062,915724263
Mocap,0.0271588,-0.0537961,1.00021,0.0023215,-0.00559456,-0.0694964,0.997564,1540498062,904669642,1540498062,933694263
Mocap,0.0271898,-0.0537856,1.00019,0.00228332,-0.0054177,-0.0698788,0.997538,1540498062,914636569,1540498062,944675263
Mocap,0.0271541,-0.0537844,1.0002,0.00232324,-0.00556354,-0.0695836,0.997558,1540498062,935527102,1540498062,955738263
Mocap,0.0271578,-0.0537954,1.0002,0.00244199,-0.005374,-0.0697224,0.997549,1540498062,945111222,1540498062,974689263
Mocap,0.0271572,-0.0537975,1.0002,0.00242189,-0.00543016,-0.0697786,0.997545,1540498062,955051184,1540498062,984749263
Mocap,0.0271932,-0.0537896,1.00019,0.00237898,-0.00537656,-0.0700625,0.997525,1540498062,975273197,1540498062,995861263
Mocap,0.0271718,-0.0537749,1.00019,0.00224854,-0.00554896,-0.069864,0.997539,1540498062,985429386,1540498063,14802263
Mocap,0.0271509,-0.0537903,1.0002,0.0024045,-0.00550836,-0.0696382,0.997554,1540498062,994972762,1540498063,24821263
Mocap,0.0271694,-0.0537866,1.00021,0.00244373,-0.00522488,-0.0699411,0.997534,1540498063,15298091,1540498063,44871263
Mocap,0.0271742,-0.0537849,1.0002,0.00237375,-0.00531463,-0.0700377,0.997527,1540498063,25135743,1540498063,54218263
Mocap,0.0271695,-0.0537868,1.0002,0.00234949,-0.0055014,-0.0698254,0.997541,1540498063,35510380,1540498063,63938263
Mocap,0.0271532,-0.0538004,1.00019,0.00239663,-0.00543323,-0.0697127,0.997549,1540498063,45114065,1540498063,74123263
Mocap,0.0271504,-0.0537877,1.0002,0.00244812,-0.00529483,-0.0698645,0.997539,1540498063,54869283,1540498063,83950263
Mocap,0.0271886,-0.0537909,1.00019,0.00238447,-0.00533682,-0.0700526,0.997526,1540498063,65029358,1540498063,94946263
Mocap,0.0271614,-0.0537925,1.00021,0.00238717,-0.00536695,-0.0697249,0.997549,1540498063,74800664,1540498063,104002263
Mocap,0.0271628,-0.0537854,1.0002,0.00234712,-0.00543262,-0.0698691,0.997539,1540498063,94953724,1540498063,124349263
Mocap,0.0271702,-0.0537753,1.00021,0.00247149,-0.00518935,-0.0700536,0.997527,1540498063,115256539,1540498063,145042263
Mocap,0.027167,-0.0537783,1.0002,0.00246125,-0.00531165,-0.0699073,0.997536,1540498063,125022058,1540498063,154075263
Mocap,0.0271467,-0.0537965,1.0002,0.0023096,-0.00564635,-0.0693896,0.997571,1540498063,135465818,1540498063,164230263
Mocap,0.0271525,-0.053785,1.0002,0.00232693,-0.00550808,-0.0696919,0.997551,1540498063,155098422,1540498063,184134263
