type,poxX,poxY,poxZ,quatX,quatY,quatZ,quatW,stampSecs,stampNSecs,recSecs,recNSecs
Mocap,0.0430972,-0.0218105,1.00081,-0.000628837,-0.0121168,-0.0736433,0.997211,1540497572,51606103,1540497572,73050170
Mocap,0.0431239,-0.0217854,1.00082,-0.000681766,-0.0119771,-0.0735782,0.997217,1540497572,61083235,1540497572,82903170
Mocap,0.0431214,-0.0217768,1.00084,-0.000726003,-0.0120408,-0.0736044,0.997215,1540497572,71434421,1540497572,93053170
Mocap,0.043128,-0.0217652,1.00084,-0.000741799,-0.0120227,-0.0736874,0.997209,1540497572,82192489,1540497572,102959170
Mocap,0.0431286,-0.0217816,1.00082,-0.000686187,-0.0120267,-0.0736321,0.997213,1540497572,91530854,1540497572,112988170
Mocap,0.0430785,-0.0218148,1.00073,-0.000613506,-0.0125909,-0.0735766,0.99721,1540497572,101728459,1540497572,122965170
Mocap,0.0431094,-0.0218035,1.00073,-0.000720281,-0.0125572,-0.0734709,0.997218,1540497572,111188462,1540497572,133116170
Mocap,0.0431189,-0.0217765,1.00084,-0.000707437,-0.0120668,-0.0736322,0.997212,1540497572,121503260,1540497572,143003170
Mocap,0.0431312,-0.021782,1.00083,-0.000642797,-0.0119245,-0.0735895,0.997217,1540497572,132337847,1540497572,153152170
Mocap,0.0431216,-0.0217864,1.00082,-0.000602099,-0.0120252,-0.0736622,0.997211,1540497572,141804326,1540497572,163037170
Mocap,0.0431002,-0.0217998,1.00073,-0.000679703,-0.0125576,-0.0734831,0.997217,1540497572,151603665,1540497572,173194170
Mocap,0.0431037,-0.0217851,1.00081,-0.000593987,-0.0121008,-0.0737201,0.997205,1540497572,161247659,1540497572,183075170
Mocap,0.0431082,-0.0217858,1.00072,-0.000689269,-0.0125266,-0.0734528,0.99722,1540497572,171428330,1540497572,193167170
Mocap,0.0431029,-0.0217816,1.00082,-0.000649337,-0.0120553,-0.07363,0.997213,1540497572,182423281,1540497572,203121170
