type,poxX,poxY,poxZ,quatX,quatY,quatZ,quatW,stampSecs,stampNSecs,recSecs,recNSecs
Mocap,0.0127082,-0.167917,0.932427,0.000150109,-0.00727924,0.550809,0.8346,1541955619,690817993,1541955619,709141978
Mocap,0.0127199,-0.167921,0.932428,0.00016353,-0.00727672,0.550791,0.834611,1541955619,700511854,1541955619,719130978
Mocap,0.0127046,-0.167924,0.93242,0.000201517,-0.00723515,0.550805,0.834603,1541955619,710481861,1541955619,729073978
Mocap,0.0127179,-0.16793,0.932414,0.000165949,-0.0073193,0.550777,0.834621,1541955619,720532534,1541955619,739201978
Mocap,0.0127153,-0.167949,0.932409,8.42403e-05,-0.00717937,0.550851,0.834573,1541955619,730515158,1541955619,749077978
Mocap,0.0127263,-0.167938,0.93241,9.39243e-05,-0.00724776,0.550871,0.834559,1541955619,741267083,1541955619,759126978
Mocap,0.0127093,-0.167923,0.932433,0.000139127,-0.00722913,0.550834,0.834584,1541955619,750707577,1541955619,769088978
Mocap,0.012718,-0.167921,0.932424,0.000158375,-0.00729832,0.550782,0.834617,1541955619,759929165,1541955619,779128978
Mocap,0.0127103,-0.167922,0.932423,0.000201946,-0.00727541,0.550828,0.834587,1541955619,770464734,1541955619,789074978
Mocap,0.012703,-0.167919,0.932429,0.000133141,-0.00724518,0.550783,0.834617,1541955619,780624272,1541955619,799126978
Mocap,0.0127133,-0.167921,0.932418,0.000179456,-0.0072939,0.550731,0.834651,1541955619,790910697,1541955619,809073978
Mocap,0.0127204,-0.167946,0.932414,9.51505e-05,-0.00723984,0.550947,0.834509,1541955619,800534035,1541955619,819144978
Mocap,0.0127222,-0.167945,0.932402,9.54951e-05,-0.00725674,0.550884,0.83455,1541955619,810642630,1541955619,829099978
Mocap,0.0127116,-0.167926,0.93242,0.000160195,-0.00722336,0.550817,0.834595,1541955619,820602653,1541955619,839162978
Mocap,0.0127151,-0.167915,0.932429,0.000155183,-0.00721732,0.550778,0.834621,1541955619,830457365,1541955619,849111978
Mocap,0.012711,-0.167918,0.932435,0.000168965,-0.00719512,0.55075,0.83464,1541955619,840788608,1541955619,859168978
Mocap,0.0127109,-0.167921,0.932416,0.000189874,-0.00733988,0.550795,0.834608,1541955619,849682818,1541955619,869146978
Mocap,0.0127257,-0.167924,0.932418,0.000150582,-0.00728499,0.550829,0.834587,1541955619,860824572,1541955619,879250978
Mocap,0.0127035,-0.167919,0.932424,0.000200003,-0.00723328,0.550763,0.834631,1541955619,870188444,1541955619,889205978
Mocap,0.0127156,-0.167918,0.932412,0.00017831,-0.00726372,0.550758,0.834633,1541955619,879933317,1541955619,899367978
Mocap,0.0127221,-0.167952,0.932427,4.22878e-05,-0.00713068,0.550838,0.834582,1541955619,890986216,1541955619,909318978
Mocap,0.0127055,-0.167931,0.932423,0.0001844,-0.00724695,0.550868,0.834561,1541955619,900539420,1541955619,919370978
Mocap,0.0127081,-0.167918,0.93243,0.000143496,-0.00731234,0.550841,0.834578,1541955619,910371008,1541955619,929345978
Mocap,0.0127064,-0.167921,0.932425,0.000167872,-0.00724696,0.550743,0.834643,1541955619,920388038,1541955619,939442978
Mocap,0.0127147,-0.167918,0.932432,0.000162416,-0.00726519,0.550783,0.834617,1541955619,930549103,1541955619,949411978
Mocap,0.0127162,-0.167921,0.932428,0.000151174,-0.00727726,0.550854,0.83457,1541955619,941311388,1541955619,959475978
Mocap,0.0127164,-0.167918,0.932406,0.00016765,-0.00734865,0.550775,0.834621,1541955619,950696200,1541955619,969435978
Mocap,0.0127121,-0.167924,0.932417,0.000187495,-0.00728515,0.550783,0.834617,1541955619,960877179,1541955619,979479978
Mocap,0.0127284,-0.167928,0.93241,0.000122144,-0.00725697,0.550844,0.834577,1541955619,970472638,1541955619,989322978
Mocap,0.0127215,-0.167939,0.932416,8.54808e-05,-0.00721514,0.550855,0.83457,1541955619,980409551,1541955619,999486978
Mocap,0.0127164,-0.167912,0.932414,0.000191794,-0.00728617,0.550779,0.83462,1541955619,991373572,1541955620,9320978
Mocap,0.0127112,-0.167917,0.932416,0.00019466,-0.00732143,0.550765,0.834628,1541955620,649782,1541955620,19378978
Mocap,0.0127134,-0.167924,0.932426,0.000167881,-0.007241,0.550816,0.834595,1541955620,10267605,1541955620,29070978
Mocap,0.0127044,-0.167922,0.932422,0.000201163,-0.00719354,0.550753,0.834637,1541955620,20766050,1541955620,39380978
Mocap,0.0127174,-0.167914,0.932419,0.000163159,-0.00727202,0.550832,0.834585,1541955620,30591864,1541955620,49066978
Mocap,0.0127151,-0.167945,0.932414,9.73823e-05,-0.00723915,0.5509,0.83454,1541955620,41203629,1541955620,59653978
Mocap,0.012711,-0.167921,0.932419,0.000181144,-0.00727098,0.55083,0.834586,1541955620,50581685,1541955620,69066978
Mocap,0.0127159,-0.167917,0.93242,0.000179977,-0.00727585,0.55082,0.834592,1541955620,60522034,1541955620,79668978
Mocap,0.0127142,-0.167918,0.932415,0.000159859,-0.00725232,0.550747,0.834641,1541955620,70322321,1541955620,89082978
Mocap,0.0127093,-0.167922,0.932421,0.000186347,-0.00721964,0.550785,0.834616,1541955620,80751132,1541955620,99126978
Mocap,0.0127168,-0.167926,0.932422,0.000142148,-0.00724849,0.550901,0.834539,1541955620,91213192,1541955620,109078978
Mocap,0.0127137,-0.167924,0.932419,0.000200223,-0.00731087,0.550782,0.834617,1541955620,101030134,1541955620,119126978
Mocap,0.0127251,-0.167936,0.932417,9.76129e-05,-0.00723122,0.550851,0.834572,1541955620,110660529,1541955620,129074978
