type,poxX,poxY,poxZ,quatX,quatY,quatZ,quatW,stampSecs,stampNSecs,recSecs,recNSecs
Mocap,0.200831,0.709302,1.40002,-0.00182884,-0.0140695,0.710158,0.703899,1542134245,992712678,1542134246,11604254
Mocap,0.200848,0.709313,1.40003,-0.00181505,-0.0141557,0.710089,0.703968,1542134246,2689980,1542134246,21680254
Mocap,0.200815,0.709215,1.40002,-0.000294973,-0.0178023,0.713658,0.700268,1542134246,12749674,1542134246,31580254
Mocap,0.200849,0.709321,1.40002,-0.00185288,-0.0141723,0.710143,0.703912,1542134246,23251686,1542134246,41718254
Mocap,0.200833,0.709309,1.40001,-0.00183912,-0.0140808,0.710186,0.70387,1542134246,32592644,1542134246,51600254
Mocap,0.20084,0.709306,1.40001,-0.00183287,-0.0141324,0.710144,0.703912,1542134246,42932579,1542134246,61790254
Mocap,0.200843,0.709321,1.40002,-0.00185672,-0.0141325,0.710134,0.703923,1542134246,52874916,1542134246,71582254
Mocap,0.200813,0.709221,1.40001,-0.000223607,-0.0178349,0.713641,0.700284,1542134246,63231374,1542134246,81770254
Mocap,0.200814,0.709221,1.40001,-0.000150981,-0.0179189,0.713682,0.700241,1542134246,72979331,1542134246,91563254
Mocap,0.200808,0.709203,1.40001,-0.000178687,-0.0179691,0.713713,0.700208,1542134246,83532292,1542134246,101823254
Mocap,0.200798,0.709198,1.40001,-0.00015562,-0.0179446,0.713764,0.700156,1542134246,92620774,1542134246,111568254
Mocap,0.200811,0.709213,1.40002,-0.000220864,-0.0179015,0.713695,0.700228,1542134246,103258636,1542134246,121769254
Mocap,0.200815,0.709229,1.40001,-0.000224634,-0.0178678,0.713675,0.700249,1542134246,112534591,1542134246,131570254
Mocap,0.200829,0.709209,1.4,-0.000185072,-0.0179171,0.713753,0.700168,1542134246,122936304,1542134246,141619254
Mocap,0.200815,0.709197,1.40001,-0.000263769,-0.0178812,0.713751,0.700171,1542134246,133223818,1542134246,151587254
Mocap,0.20082,0.709191,1.40001,-0.000202022,-0.0178831,0.713765,0.700157,1542134246,143169026,1542134246,161647254
Mocap,0.200832,0.709326,1.40003,-0.00178773,-0.0140241,0.710037,0.704022,1542134246,152687339,1542134246,171611254
Mocap,0.200845,0.709342,1.40003,-0.00180288,-0.0141013,0.710089,0.703968,1542134246,163023160,1542134246,181866254
Mocap,0.200832,0.709314,1.40002,-0.00175455,-0.0142781,0.710211,0.703842,1542134246,172849628,1542134246,191652254
Mocap,0.200846,0.709302,1.40003,-0.00189853,-0.0140517,0.710172,0.703885,1542134246,182815414,1542134246,201717254
Mocap,0.200838,0.709314,1.40001,-0.00181197,-0.0142008,0.710214,0.703841,1542134246,192934974,1542134246,211664254
Mocap,0.20084,0.709313,1.40001,-0.00182314,-0.0141097,0.710143,0.703914,1542134246,202959938,1542134246,221903254
Mocap,0.200827,0.709316,1.40001,-0.00179648,-0.014092,0.709954,0.704105,1542134246,212762778,1542134246,231661254
Mocap,0.200793,0.709203,1.40001,-0.000177884,-0.0179076,0.713732,0.70019,1542134246,222809713,1542134246,241885254
