type,poxX,poxY,poxZ,quatX,quatY,quatZ,quatW,stampSecs,stampNSecs,recSecs,recNSecs
Mocap,-0.0137128,-0.0944506,0.932226,0.00474465,-0.0124868,0.010628,0.999854,1541955752,404647371,1541955752,420053916
Mocap,-0.013723,-0.094456,0.932228,0.00473833,-0.0124789,0.0106008,0.999855,1541955752,415023334,1541955752,430151916
Mocap,-0.0137144,-0.094452,0.932231,0.00468858,-0.0124314,0.0105981,0.999856,1541955752,424735530,1541955752,440003916
Mocap,-0.0137161,-0.0944402,0.93223,0.0047342,-0.0124485,0.010558,0.999856,1541955752,434535412,1541955752,450160916
Mocap,-0.0137166,-0.0944574,0.932225,0.00474154,-0.0124593,0.0106181,0.999855,1541955752,445062154,1541955752,460002916
Mocap,-0.0137237,-0.0944704,0.932224,0.00468492,-0.0124607,0.0107536,0.999854,1541955752,454619277,1541955752,470149916
Mocap,-0.0137155,-0.0944746,0.932221,0.00469463,-0.0124959,0.0106332,0.999854,1541955752,464843904,1541955752,480003916
Mocap,-0.013712,-0.0944605,0.932236,0.00475098,-0.0124092,0.0106156,0.999855,1541955752,474399912,1541955752,490151916
Mocap,-0.013707,-0.0944422,0.932229,0.00469869,-0.0124716,0.010651,0.999854,1541955752,484384696,1541955752,500003916
Mocap,-0.0137263,-0.0944499,0.932231,0.0047184,-0.0124259,0.0106344,0.999855,1541955752,494169299,1541955752,510150916
Mocap,-0.0137164,-0.0944642,0.93223,0.00471537,-0.0125068,0.0106629,0.999854,1541955752,504593697,1541955752,520003916
Mocap,-0.0137221,-0.0944699,0.932231,0.00471744,-0.0124621,0.0106965,0.999854,1541955752,514578147,1541955752,530049916
Mocap,-0.0137106,-0.0944563,0.932233,0.00473474,-0.0124085,0.0106229,0.999855,1541955752,524974875,1541955752,540000916
Mocap,-0.0137098,-0.0944607,0.932234,0.00470332,-0.0124372,0.0106367,0.999855,1541955752,534850515,1541955752,550149916
Mocap,-0.0137112,-0.0944471,0.932228,0.00471306,-0.0124688,0.0105932,0.999855,1541955752,545206070,1541955752,560003916
Mocap,-0.0137157,-0.0944646,0.932234,0.00473957,-0.0124143,0.0105797,0.999856,1541955752,554857006,1541955752,570151916
Mocap,-0.0137254,-0.094463,0.932222,0.00473448,-0.012458,0.0106352,0.999855,1541955752,564740552,1541955752,580003916
Mocap,-0.013715,-0.094459,0.932229,0.00470093,-0.0124796,0.0106586,0.999854,1541955752,574497055,1541955752,590052916
Mocap,-0.0137107,-0.0944357,0.932229,0.0047508,-0.0124719,0.0105142,0.999856,1541955752,584845414,1541955752,600003916
Mocap,-0.013717,-0.0944577,0.932226,0.00472596,-0.012481,0.0106979,0.999854,1541955752,595105327,1541955752,610046916
Mocap,-0.0137279,-0.0944569,0.932224,0.00469375,-0.0125195,0.0106707,0.999854,1541955752,604833875,1541955752,620007916
Mocap,-0.013716,-0.0944718,0.932225,0.00470218,-0.0124968,0.0107179,0.999853,1541955752,614582079,1541955752,630162916
Mocap,-0.0137161,-0.0944532,0.932229,0.00470447,-0.0124557,0.0106496,0.999855,1541955752,624639332,1541955752,640021916
