type,poxX,poxY,poxZ,quatX,quatY,quatZ,quatW,stampSecs,stampNSecs,recSecs,recNSecs
Mocap,-0.0310722,-0.132158,0.931797,0.00278718,-0.0117221,0.0644591,0.997848,1541955884,408024361,1541955884,430340411
Mocap,-0.0310756,-0.132148,0.931806,0.002742,-0.0116986,0.0643524,0.997855,1541955884,418594613,1541955884,440376411
Mocap,-0.031077,-0.132159,0.931809,0.00283472,-0.0115662,0.0642624,0.997862,1541955884,428533292,1541955884,450354411
Mocap,-0.0310731,-0.132155,0.931807,0.00276623,-0.011701,0.0644218,0.99785,1541955884,438722937,1541955884,460562411
Mocap,-0.0310821,-0.132162,0.931801,0.00275411,-0.011703,0.064392,0.997852,1541955884,448657574,1541955884,470380411
Mocap,-0.0310871,-0.132148,0.931801,0.00276638,-0.0116674,0.0643293,0.997857,1541955884,458756988,1541955884,480451411
Mocap,-0.0310768,-0.132159,0.9318,0.00285376,-0.0116267,0.0642221,0.997864,1541955884,468622942,1541955884,490425411
Mocap,-0.0310814,-0.132156,0.931795,0.00282795,-0.0116098,0.0641641,0.997868,1541955884,478076960,1541955884,500490411
Mocap,-0.0310855,-0.132151,0.931798,0.00273884,-0.0117709,0.0644059,0.997851,1541955884,488677114,1541955884,510441411
Mocap,-0.0310771,-0.132148,0.931798,0.00278035,-0.0117374,0.064357,0.997854,1541955884,498559330,1541955884,520493411
Mocap,-0.0310758,-0.132157,0.931796,0.00274736,-0.0117398,0.0643921,0.997852,1541955884,508634380,1541955884,530469411
Mocap,-0.0310317,-0.132115,0.931871,0.00272675,-0.0115069,0.064279,0.997862,1541955884,518747959,1541955884,540564411
Mocap,-0.0310878,-0.132162,0.931803,0.00274276,-0.0116963,0.0644018,0.997852,1541955884,529251469,1541955884,550532411
Mocap,-0.0310796,-0.132156,0.931806,0.00282726,-0.0115952,0.0641835,0.997867,1541955884,538716792,1541955884,560592411
Mocap,-0.0310753,-0.13214,0.931796,0.00277678,-0.0117381,0.0642827,0.997859,1541955884,548769840,1541955884,570542411
Mocap,-0.0310236,-0.132109,0.931869,0.00272435,-0.011522,0.0642709,0.997862,1541955884,558530426,1541955884,580602411
Mocap,-0.0310557,-0.132123,0.931758,0.00277728,-0.0119077,0.064202,0.997862,1541955884,568659881,1541955884,590538411
Mocap,-0.0310884,-0.132162,0.931795,0.00274703,-0.0116595,0.0644062,0.997852,1541955884,578691021,1541955884,600586411
Mocap,-0.0310818,-0.132152,0.931801,0.00277947,-0.0117075,0.0643355,0.997856,1541955884,589548086,1541955884,610534411
Mocap,-0.0310723,-0.132163,0.931803,0.00282571,-0.0116522,0.0642464,0.997862,1541955884,598586910,1541955884,620597411
Mocap,-0.0310695,-0.132155,0.93181,0.0027491,-0.0117529,0.0643627,0.997854,1541955884,608709920,1541955884,630277411
Mocap,-0.0310789,-0.132156,0.931808,0.0028181,-0.0115893,0.0642027,0.997866,1541955884,619148648,1541955884,640330411
Mocap,-0.0310805,-0.132165,0.931803,0.00283487,-0.011612,0.0642106,0.997865,1541955884,628822221,1541955884,650282411
Mocap,-0.0310812,-0.132163,0.93179,0.00273405,-0.0117433,0.0643461,0.997855,1541955884,639562852,1541955884,660320411
Mocap,-0.0310803,-0.132164,0.931796,0.00277169,-0.0117099,0.064398,0.997852,1541955884,649113481,1541955884,670260411
Mocap,-0.0310744,-0.132155,0.931802,0.00273589,-0.0117319,0.0643677,0.997854,1541955884,658706575,1541955884,680310411
Mocap,-0.0310737,-0.132157,0.931805,0.00282768,-0.0116304,0.0642205,0.997864,1541955884,668561370,1541955884,690255411
Mocap,-0.0310787,-0.132159,0.931821,0.00273176,-0.0116861,0.0644471,0.997849,1541955884,678789996,1541955884,700303411
Mocap,-0.0310128,-0.132118,0.931869,0.00280371,-0.0114608,0.0641409,0.997871,1541955884,688917504,1541955884,710253411
Mocap,-0.0310755,-0.132167,0.931796,0.00275462,-0.0117142,0.0643949,0.997852,1541955884,699256638,1541955884,720303411
Mocap,-0.0310731,-0.132163,0.931802,0.00273274,-0.0117008,0.0643704,0.997854,1541955884,709608862,1541955884,730268411
Mocap,-0.0310778,-0.132156,0.931803,0.00275804,-0.011689,0.0643922,0.997852,1541955884,718767598,1541955884,740306411
Mocap,-0.0310811,-0.132163,0.931803,0.00281851,-0.0116273,0.0641881,0.997866,1541955884,728607804,1541955884,750254411
Mocap,-0.031074,-0.132149,0.9318,0.00277643,-0.0117406,0.0643771,0.997853,1541955884,738514047,1541955884,760304411
Mocap,-0.0310761,-0.132153,0.931811,0.0027353,-0.0117108,0.064382,0.997853,1541955884,748452962,1541955884,770257411
Mocap,-0.0310534,-0.132174,0.931793,0.00286086,-0.0116654,0.0643342,0.997856,1541955884,759627133,1541955884,780305411
Mocap,-0.0310759,-0.132164,0.931811,0.00284536,-0.0115989,0.0642425,0.997863,1541955884,768880735,1541955884,790271411
Mocap,-0.0310806,-0.13217,0.931807,0.00282411,-0.0116511,0.0642167,0.997864,1541955884,778929314,1541955884,800513411
Mocap,-0.031076,-0.132161,0.931797,0.00272278,-0.0117165,0.0643941,0.997852,1541955884,789198024,1541955884,810274411
Mocap,-0.0310728,-0.132148,0.931806,0.00275989,-0.011713,0.0643594,0.997854,1541955884,798888013,1541955884,820504411
Mocap,-0.0310749,-0.132167,0.931808,0.00272481,-0.0117065,0.0643861,0.997853,1541955884,808484398,1541955884,830305411
Mocap,-0.0310763,-0.132157,0.931811,0.00281133,-0.0116032,0.0641567,0.997868,1541955884,819658770,1541955884,840530411
Mocap,-0.0310606,-0.132141,0.931788,0.00284322,-0.0117456,0.0644804,0.997846,1541955884,828479693,1541955884,850247411
Mocap,-0.0310774,-0.132158,0.931805,0.00274426,-0.011686,0.0644042,0.997852,1541955884,838907648,1541955884,860499411
Mocap,-0.0310802,-0.13217,0.931804,0.00285617,-0.0116139,0.0642426,0.997863,1541955884,848729393,1541955884,870267411
Mocap,-0.0310215,-0.132123,0.931877,0.00270311,-0.0115514,0.0642747,0.997862,1541955884,858824340,1541955884,880318411
Mocap,-0.031089,-0.132158,0.931805,0.00274336,-0.011708,0.0643518,0.997855,1541955884,868292452,1541955884,890276411
Mocap,-0.0310784,-0.13215,0.931801,0.00275615,-0.0116971,0.0643381,0.997856,1541955884,878672350,1541955884,900350411
Mocap,-0.0310928,-0.132141,0.93182,0.00288427,-0.0116098,0.064461,0.997849,1541955884,888972038,1541955884,910305411
Mocap,-0.0310835,-0.132155,0.931802,0.00275252,-0.011713,0.064375,0.997853,1541955884,898728683,1541955884,920341411
Mocap,-0.031081,-0.132157,0.931808,0.00275723,-0.0117154,0.0643967,0.997852,1541955884,908859174,1541955884,930305411
Mocap,-0.0310747,-0.132155,0.931807,0.00274067,-0.0117255,0.0643862,0.997852,1541955884,919122238,1541955884,940538411
Mocap,-0.0310461,-0.132162,0.931794,0.00287881,-0.0116427,0.0643149,0.997858,1541955884,929225407,1541955884,950304411
Mocap,-0.0310789,-0.132153,0.931807,0.00276925,-0.0117009,0.0643669,0.997854,1541955884,938403630,1541955884,960342411
Mocap,-0.031077,-0.132165,0.931796,0.00283814,-0.0116212,0.0642223,0.997864,1541955884,948914370,1541955884,970300411
Mocap,-0.0310885,-0.132165,0.931796,0.00276478,-0.0116768,0.0644169,0.997851,1541955884,958845913,1541955884,980341411
Mocap,-0.0310811,-0.132159,0.931796,0.00275288,-0.0117262,0.0643345,0.997856,1541955884,968909957,1541955884,990296411
Mocap,-0.0310723,-0.132162,0.9318,0.0028235,-0.011615,0.0642239,0.997864,1541955884,979349434,1541955885,359411
Mocap,-0.0310731,-0.132146,0.931803,0.002743,-0.0117089,0.0643624,0.997854,1541955884,989739318,1541955885,10331411
Mocap,-0.0310717,-0.132149,0.931803,0.00270863,-0.0117003,0.0643605,0.997854,1541955884,998942356,1541955885,20425411
Mocap,-0.0310736,-0.132152,0.931816,0.00273482,-0.0117276,0.0643355,0.997856,1541955885,7998679,1541955885,30395411
Mocap,-0.0310738,-0.132155,0.931807,0.00277373,-0.0117291,0.0643619,0.997854,1541955885,18581857,1541955885,40455411
Mocap,-0.0310785,-0.132168,0.931805,0.00272003,-0.0116783,0.0643573,0.997855,1541955885,28902922,1541955885,50422411
Mocap,-0.0310786,-0.132154,0.931801,0.0027652,-0.0116998,0.0644138,0.997851,1541955885,39828114,1541955885,60654411
Mocap,-0.0310742,-0.132161,0.93179,0.00271995,-0.0117528,0.0643946,0.997852,1541955885,49111723,1541955885,70440411
Mocap,-0.0310769,-0.132153,0.931808,0.0028515,-0.011648,0.0641131,0.997871,1541955885,58680739,1541955885,80534411
Mocap,-0.0310705,-0.132155,0.931815,0.00273281,-0.0116905,0.064327,0.997857,1541955885,69110815,1541955885,90488411
Mocap,-0.0310724,-0.132153,0.931809,0.00274467,-0.0116997,0.0644043,0.997852,1541955885,78345147,1541955885,100566411
Mocap,-0.0310788,-0.132153,0.931808,0.00277011,-0.0116823,0.0643833,0.997853,1541955885,88905109,1541955885,110528411
Mocap,-0.0310834,-0.132184,0.931797,0.00278807,-0.011658,0.0642507,0.997862,1541955885,99639723,1541955885,120781411
Mocap,-0.0310863,-0.132162,0.931799,0.0027714,-0.0116993,0.0643992,0.997852,1541955885,109773193,1541955885,130556411
Mocap,-0.0310795,-0.132173,0.931801,0.00275341,-0.0116932,0.0644498,0.997849,1541955885,118926780,1541955885,140554411
