type,poxX,poxY,poxZ,quatX,quatY,quatZ,quatW,stampSecs,stampNSecs,recSecs,recNSecs
Mocap,0.0127096,-0.167908,0.93243,0.000208948,-0.00728043,0.550755,0.834635,1541955380,90096779,1541955380,111314099
Mocap,0.0127152,-0.167913,0.93244,0.000174765,-0.00718651,0.550819,0.834594,1541955380,100629337,1541955380,121554099
Mocap,0.0127104,-0.167933,0.932433,0.000101958,-0.00723979,0.550801,0.834605,1541955380,111577932,1541955380,131339099
Mocap,0.0127027,-0.16792,0.932442,0.000194558,-0.00727607,0.550794,0.834609,1541955380,120679848,1541955380,141581099
Mocap,0.012713,-0.167914,0.932438,0.000223047,-0.00731325,0.550797,0.834607,1541955380,130921506,1541955380,151372099
Mocap,0.0127123,-0.167923,0.932435,0.000154247,-0.00721304,0.550793,0.834611,1541955380,140600822,1541955380,161432099
Mocap,0.0127134,-0.167917,0.932423,0.000151317,-0.00727262,0.550771,0.834625,1541955380,150874374,1541955380,171384099
Mocap,0.012715,-0.167917,0.932436,0.000157434,-0.00729763,0.55083,0.834586,1541955380,161361672,1541955380,181442099
Mocap,0.0127063,-0.167908,0.932435,0.000202346,-0.00727276,0.550759,0.834633,1541955380,170583375,1541955380,191417099
Mocap,0.01272,-0.16791,0.932442,0.000153908,-0.00728629,0.550812,0.834597,1541955380,180624127,1541955380,201513099
Mocap,0.0127095,-0.167914,0.932421,0.000189836,-0.00727479,0.550765,0.834629,1541955380,190916426,1541955380,211466099
Mocap,0.0127069,-0.167914,0.932443,0.000182068,-0.00728708,0.550766,0.834628,1541955380,200407906,1541955380,221549099
Mocap,0.0127087,-0.167941,0.932431,0.000129774,-0.0071633,0.550945,0.834511,1541955380,211090022,1541955380,231494099
Mocap,0.0127076,-0.167914,0.932423,0.000153857,-0.0072691,0.550811,0.834598,1541955380,221350623,1541955380,241589099
Mocap,0.0127297,-0.167931,0.932436,9.65375e-05,-0.00724489,0.55091,0.834533,1541955380,230049480,1541955380,251528099
Mocap,0.0127017,-0.167918,0.932437,0.000185792,-0.00725524,0.550735,0.834648,1541955380,240960760,1541955380,261752099
Mocap,0.012717,-0.167937,0.932433,9.24512e-05,-0.00724996,0.550867,0.834561,1541955380,250823175,1541955380,271553099
Mocap,0.0127124,-0.167904,0.93244,0.000176918,-0.00724372,0.550787,0.834615,1541955380,261051777,1541955380,281797099
Mocap,0.0127026,-0.167923,0.93243,0.000200854,-0.0072244,0.550774,0.834623,1541955380,271361718,1541955380,291561099
Mocap,0.0127147,-0.167921,0.932435,0.000153451,-0.00733125,0.550848,0.834573,1541955380,280762329,1541955380,301795099
Mocap,0.0127043,-0.167918,0.93244,0.000159704,-0.00726949,0.550803,0.834604,1541955380,290925180,1541955380,311564099
Mocap,0.0127203,-0.167905,0.932439,0.000186526,-0.00728374,0.5508,0.834606,1541955380,300725149,1541955380,321802099
Mocap,0.0126361,-0.168107,0.932624,-3.64578e-05,-0.00568249,0.55203,0.833805,1541955380,310511674,1541955380,331547099
Mocap,0.0127297,-0.167928,0.932452,0.000111144,-0.00721051,0.550938,0.834515,1541955380,321477984,1541955380,341722099
Mocap,0.0127082,-0.167916,0.932435,0.000200481,-0.00729559,0.550838,0.83458,1541955380,331538638,1541955380,351546099
Mocap,0.0127119,-0.167944,0.932442,0.000108897,-0.00717314,0.550912,0.834533,1541955380,340512916,1541955380,361596099
Mocap,0.0127161,-0.167923,0.93243,0.000200153,-0.0072577,0.550802,0.834605,1541955380,350625333,1541955380,371292099
Mocap,0.0127203,-0.16792,0.932425,0.000182445,-0.00728202,0.550811,0.834598,1541955380,360764137,1541955380,381720099
Mocap,0.0127142,-0.16792,0.932432,0.000190552,-0.00729064,0.55085,0.834572,1541955380,370873391,1541955380,391293099
Mocap,0.0127254,-0.167918,0.932438,0.0001204,-0.00725861,0.550847,0.834575,1541955380,381210778,1541955380,401721099
